Kistanje,Šibensko-kninska,I.
Donji Kukuruzari,Sisačko-moslavačka,I.
Voćin,Virovitičko-podravska,I.
Vrginmost,Sisačko-moslavačka,I.
Gunja,Vukovarsko-srijemska,I.
Zrinski Topolovac,Bjelovarsko-bilogorska,I.
Vrbje,Brodsko-posavska,I.
Okučani,Brodsko-posavska,I.
Cetingrad,Karlovačka,I.
Đulovac,Bjelovarsko-bilogorska,I.
Biskupija,Šibensko-kninska,I.
Vojnić,Karlovačka,I.
Gornji Bogićevci,Brodsko-posavska,I.
Dvor,Sisačko-moslavačka,I.
Krnjak,Karlovačka,I.
Levanjska Varoš,Osječko-baranjska,I.
Plaški,Karlovačka,I.
Sopje,Virovitičko-podravska,I.
Drenovci,Vukovarsko-srijemska,I.
Gradina,Virovitičko-podravska,I.
Jagodnjak,Osječko-baranjska,I.
Štefanje,Bjelovarsko-bilogorska,I.
Babina Greda,Vukovarsko-srijemska,I.
Štitar,Vukovarsko-srijemska,I.
Mikleuš,Virovitičko-podravska,I.
Drenje,Osječko-baranjska,I.
Donji Lapac,Ličko-senjska,I.
Sunja,Sisačko-moslavačka,I.
Trnava,Osječko-baranjska,I.
Podgorač,Osječko-baranjska,I.
Nova Rača,Bjelovarsko-bilogorska,I.
Vrhovine,Ličko-senjska,I.
Markušica,Vukovarsko-srijemska,I.
Hrvatska Dubica,Sisačko-moslavačka,I.
Lokvičići,Splitsko-dalmatinska,I.
Nova Bukovica,Virovitičko-podravska,I.
Čađavica,Virovitičko-podravska,I.
Kloštar Podravski,Koprivničko-križevačka,I.
Staro Petrovo Selo,Brodsko-posavska,I.
Gundinci,Brodsko-posavska,I.
Špišić Bukovica,Virovitičko-podravska,I.
Rovišće,Bjelovarsko-bilogorska,I.
Šodolovci,Osječko-baranjska,I.
Dežanovac,Bjelovarsko-bilogorska,I.
Civljane,Šibensko-kninska,I.
Podravska Moslavina,Osječko-baranjska,I.
Kapela,Bjelovarsko-bilogorska,I.
Stara Gradiška,Brodsko-posavska,II.
Bošnjaci,Vukovarsko-srijemska,II.
Viljevo,Osječko-baranjska,II.
Bebrina,Brodsko-posavska,II.
Sveti Petar Orehovec,Koprivničko-križevačka,II.
Novo Virje,Koprivničko-križevačka,II.
Proložac,Splitsko-dalmatinska,II.
Velika Pisanica,Bjelovarsko-bilogorska,II.
Orehovica,Međimurska,II.
Saborsko,Karlovačka,II.
Ivanska,Bjelovarsko-bilogorska,II.
Gornja Rijeka,Koprivničko-križevačka,II.
Ervenik,Šibensko-kninska,II.
Majur,Sisačko-moslavačka,II.
Cista Provo,Splitsko-dalmatinska,II.
Suhopolje,Virovitičko-podravska,II.
Trpinja,Vukovarsko-srijemska,II.
Velika Trnovitica,Bjelovarsko-bilogorska,II.
Vrbanja,Vukovarsko-srijemska,II.
Slavonski Šamac,Brodsko-posavska,II.
Donja Voća,Varaždinska,II.
Lukač,Virovitičko-podravska,II.
Borovo,Vukovarsko-srijemska,II.
Davor,Brodsko-posavska,II.
Čaglin,Požeško-slavonska,II.
Velika Kopanica,Brodsko-posavska,II.
Donja Motičina,Osječko-baranjska,II.
Veliki Grđevac,Bjelovarsko-bilogorska,II.
Lovreć,Splitsko-dalmatinska,II.
Popovac,Osječko-baranjska,II.
Gradište,Vukovarsko-srijemska,II.
Rešetari,Brodsko-posavska,II.
Gorjani,Osječko-baranjska,II.
Đurđenovac,Osječko-baranjska,II.
Rakovec,Zagrebačka,II.
Berek,Bjelovarsko-bilogorska,II.
Glina,Sisačko-moslavačka,II.
Cernik,Brodsko-posavska,II.
Kalnik,Koprivničko-križevačka,II.
Stari Mikanovci,Vukovarsko-srijemska,II.
Viškovci,Osječko-baranjska,II.
Sokolovac,Koprivničko-križevačka,II.
Satnica Đakovačka,Osječko-baranjska,II.
Farkaševac,Zagrebačka,II.
Strizivojna,Osječko-baranjska,II.
Bogdanovci,Vukovarsko-srijemska,II.
Sikirevci,Brodsko-posavska,II.
